Team id: 132, Wins: 6 , Amount:  46669.95
Team id: 282, Wins: 2 , Amount:  1319.27
Team id: 285, Wins: 3 , Amount:  80444.17
Team id: 286, Wins: 3 , Amount:  6500.0
Team id: 287, Wins: 1 , Amount:  3302.66
Team id: 289, Wins: 0 , Amount:  0.0
Team id: 805, Wins: 7 , Amount:  90100.39
Team id: 808, Wins: 0 , Amount:  0.0
Team id: 220, Wins: 0 , Amount:  0.0
Team id: 810, Wins: 0 , Amount:  0.0
Team id: 813, Wins: 0 , Amount:  0.0
Team id: 302, Wins: 0 , Amount:  0.0
Team id: 305, Wins: 0 , Amount:  0.0
Team id: 306, Wins: 0 , Amount:  0.0
Team id: 309, Wins: 0 , Amount:  0.0
Team id: 311, Wins: 1 , Amount:  16319.3
Team id: 312, Wins: 0 , Amount:  0.0
Team id: 313, Wins: 0 , Amount:  0.0
Team id: 735, Wins: 6 , Amount:  1240.0
Team id: 316, Wins: 0 , Amount:  0.0
Team id: 317, Wins: 5 , Amount:  47353.97
Team id: 318, Wins: 0 , Amount:  0.0
Team id: 319, Wins: 2 , Amount:  4500.0
Team id: 322, Wins: 15 , Amount:  80186.52
Team id: 323, Wins: 6 , Amount:  32265.1
Team id: 330, Wins: 0 , Amount:  0.0
Team id: 331, Wins: 5 , Amount:  17398.85
Team id: 335, Wins: 1 , Amount:  10000.0
Team id: 337, Wins: 5 , Amount:  75000.0
Team id: 338, Wins: 4 , Amount:  55515.61
Team id: 739, Wins: 2 , Amount:  6765.8
Team id: 340, Wins: 1 , Amount:  32223.2
Team id: 344, Wins: 4 , Amount:  134523.98
Team id: 349, Wins: 1 , Amount:  65121.91
Team id: 352, Wins: 0 , Amount:  0.0
Team id: 144, Wins: 2 , Amount:  86240.0
Team id: 145, Wins: 4 , Amount:  117965.5
Team id: 231, Wins: 6 , Amount:  842280.0
Team id: 366, Wins: 3 , Amount:  268899.05
Team id: 372, Wins: 0 , Amount:  0.0
Team id: 374, Wins: 0 , Amount:  0.0
Team id: 745, Wins: 3 , Amount:  59500.0
Team id: 377, Wins: 1 , Amount:  395.27
Team id: 380, Wins: 1 , Amount:  7663.54
Team id: 381, Wins: 0 , Amount:  0.0
Team id: 382, Wins: 1 , Amount:  7000.0
Team id: 383, Wins: 0 , Amount:  0.0
Team id: 385, Wins: 7 , Amount:  23533.600000000002
Team id: 387, Wins: 0 , Amount:  0.0
Team id: 396, Wins: 3 , Amount:  1909.8
Team id: 398, Wins: 0 , Amount:  0.0
Team id: 400, Wins: 0 , Amount:  0.0
Team id: 403, Wins: 4 , Amount:  68059.38
Team id: 404, Wins: 0 , Amount:  0.0
Team id: 406, Wins: 0 , Amount:  0.0
Team id: 408, Wins: 0 , Amount:  0.0
Team id: 411, Wins: 4 , Amount:  120000.0
Team id: 413, Wins: 16 , Amount:  24070.49
Team id: 414, Wins: 4 , Amount:  45622.13
Team id: 420, Wins: 7 , Amount:  77499.9
Team id: 421, Wins: 5 , Amount:  15643.93
Team id: 425, Wins: 2 , Amount:  12500.0
Team id: 426, Wins: 0 , Amount:  0.0
Team id: 427, Wins: 3 , Amount:  34245.72
Team id: 430, Wins: 0 , Amount:  0.0
Team id: 434, Wins: 2 , Amount:  1044.1599999999999
Team id: 437, Wins: 0 , Amount:  0.0
Team id: 439, Wins: 2 , Amount:  5212.26
Team id: 442, Wins: 10 , Amount:  86672.13
Team id: 134, Wins: 0 , Amount:  0.0
Team id: 447, Wins: 1 , Amount:  33880.0
Team id: 452, Wins: 1 , Amount:  2985.33
Team id: 459, Wins: 0 , Amount:  0.0
Team id: 462, Wins: 2 , Amount:  9175.02
Team id: 465, Wins: 1 , Amount:  2381.8
Team id: 468, Wins: 0 , Amount:  0.0
Team id: 471, Wins: 1 , Amount:  12007.0
Team id: 478, Wins: 4 , Amount:  7428.68
Team id: 480, Wins: 0 , Amount:  0.0
Team id: 481, Wins: 1 , Amount:  6471.9
Team id: 489, Wins: 1 , Amount:  2500.0
Team id: 494, Wins: 4 , Amount:  30050.0
Team id: 501, Wins: 1 , Amount:  30000.0
Team id: 709, Wins: 0 , Amount:  0.0
Team id: 508, Wins: 1 , Amount:  8975.89
